q_id,cluster,req_deliverability,latitude,longitude,capacity,point_of_interconnection,type of upgrade,upgrade,description,cost allocation factor,estimated cost x 1000,escalated costs x 1000,estimated time  to construct,,estimated cost x 1000 escalated without itcca,estimated cost x 1000 escalated with itcca,estimated time to construct,estimated cost x 1000 escalated,total estimated cost x 1000 escalated,cost rate x 1000,project size
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,PTO’s Interconnection Facilities (Note 2),70kV Switching Station,• Install Three (3) DTT Receivers (by Q532),100.00%,$350,$384,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,70kV Switching Station,"• Gen – Tie Line Relays, Dead- end, PTs, and Disconnect Switch • Install Fiber Terminations",100.00%,$720,$789,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,Generation Site,"• Engineering Reviews, Metering, Pre-parallel Inspection, and Project Management • SCADA RTU Installation and ISTS Testing",100.00%,$349,$382,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,T-Line for 70kV Switching Station,• Install One (1) New TSP with conductor for Gen-Tie line and provide T-Line engineering review at 70kV Switching Station,100.00%,$170,$186,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,,,Total,"$1,589","$1,741",,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,Reliability Network Upgrade,Schindler Substation,"• New DTT Transmitter, Channel Bank, & HVP Installation (by Q532)",100.00%,N/A,N/A,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,Huron Substation,"• New DTT Transmitter, Channel Bank & HVP Installation (by Q532)",100.00%,N/A,N/A,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,Gates Substation,"• New DTT Transmitter, Channel Bank & HVP Installation (by Q532)",100.00%,N/A,N/A,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,70kV Switching Station,"• Three (3) 70kV CBs, Dead- ends, Switches, MPAC building, and line relay packages (by Q532)",100.00%,N/A,N/A,24,,,,,,,,
1030,7,Full,36.379,120.138,20,Schindler-Huron-Gates tap 70kV,,T-Line at 70kV Switching Station,• Install one (1) new dead end tubular steel pole (TSP) with two (2) of three SCADA switches. Install two (2) in-line TSPs and one (1) shoo-fly for Construction (by Q532),100.00%,N/A,N/A,24,,,,,,,,
